3508,4726,7,2478,1327,2797,1778,0.999957
3508,4726,6,1709,588,2167,843,0.99912
3508,4726,6,2101,737,2338,1060,0.998868
3508,4726,7,386,2782,1143,3004,0.99812
3508,4726,2,862,1574,1253,1768,0.998098
3508,4726,7,1592,1681,1896,2130,0.99743
3508,4726,3,2942,3046,3508,3326,0.992523
3508,4726,6,1300,553,1666,798,0.988333
3508,4726,2,742,1542,1017,1775,0.983884
3508,4726,6,2325,931,2528,1214,0.98348
3508,4726,9,2641,133,2819,480,0.976894
3508,4726,6,2574,1156,2850,1315,0.971939
3508,4726,6,2409,873,2621,1135,0.963699
3508,4726,9,2859,126,3055,476,0.957701
3508,4726,7,3060,1962,3508,2619,0.949479
3508,4726,9,2396,493,2570,812,0.922664
3508,4726,7,534,2491,845,2733,0.880438
3508,4726,3,1587,4547,1884,4726,0.84642
3508,4726,7,2216,3890,2890,4198,0.826678
3508,4726,7,2118,2057,2398,2522,0.797371
3508,4726,7,691,2479,1167,2723,0.778013
3508,4726,6,892,1100,1239,1310,0.763923
3508,4726,6,616,1053,958,1292,0.761306
3508,4726,6,1865,610,2143,776,0.727262
3508,4726,6,3365,1248,3508,1402,0.7115
3508,4726,6,2133,760,2296,968,0.708216
3508,4726,2,1022,1548,1313,1741,0.705834
3508,4726,6,1746,4358,1935,4497,0.695468
3508,4726,6,2299,1036,2533,1342,0.669271
3508,4726,7,0,3189,254,3512,0.645579
3508,4726,7,2273,2061,2651,2468,0.623819
3508,4726,7,1306,2042,1642,2544,0.595993
3508,4726,3,0,4384,187,4726,0.57887
3508,4726,6,2231,833,2437,1122,0.576277
3508,4726,6,1608,604,1908,848,0.535008
3508,4726,7,1960,4404,2559,4607,0.530014
3508,4726,6,2319,893,2459,1092,0.524518
